Code_Agence,Composante,Modele,MAPE,Statut
00081,encaissements,xgboost,27.47%,TOP2_TEST
00081,encaissements,prophet,25.24%,TOP2_TEST
00081,encaissements,arima,11.54%,MEILLEUR
00081,encaissements,moving_avg,24.74%,
00081,encaissements,ensemble_post,15.74%,ENSEMBLE_POST
00081,encaissements,ensemble_top2_cv6,14.48%,ENSEMBLE_CV
00081,encaissements,ensemble_top2_cv4,14.68%,ENSEMBLE_CV
00081,decaissements,xgboost,22.62%,TOP2_TEST
00081,decaissements,prophet,22.64%,TOP2_TEST
00081,decaissements,arima,29.83%,
00081,decaissements,moving_avg,27.63%,
00081,decaissements,ensemble_post,19.51%,ENSEMBLE_POST
00081,decaissements,ensemble_top2_cv2,19.48%,MEILLEUR
00081,decaissements,ensemble_top2_cv0,19.49%,ENSEMBLE_CV
00081,Besoin,xgboost,203.62%,MEILLEUR
00081,Besoin,prophet,285.16%,
00081,Besoin,arima,337.93%,
00081,Besoin,moving_avg,440.01%,TOP2_TEST
00081,Besoin,ensemble_post,237.59%,ENSEMBLE_POST
00081,Besoin,ensemble_top2_cv4,274.62%,ENSEMBLE_CV
00081,Besoin,ensemble_top2_cv7,344.46%,ENSEMBLE_CV
