Code_Agence,Colonne,Modele,MAE,RMSE,MAPE,R2
00037,encaissements,xgboost,4589409.1968,6129367.04105791,2.1305466408633777,0.9986914027714839
00037,encaissements,prophet,92961523.76046126,129250082.63200638,41.57622901904066,0.4225721444154489
00037,encaissements,arima,130277308.61860323,169387378.10987857,62.2670339735227,0.008259238605766384
00037,encaissements,moving_avg,138314738.1182339,179155922.62710056,64.53834354512121,-0.10942618410990934
00037,decaissements,xgboost,1952337.9264,2525993.2540167267,2.2890045068721507,0.9991747862532596
00037,decaissements,prophet,41352101.42072933,63976643.21595469,41.586545786901375,0.4657934033561596
00037,decaissements,arima,53034754.84047502,79123831.3170448,57.26207108014005,0.18288917384888415
00037,decaissements,moving_avg,55658737.36463984,82052836.29465419,58.36023029035851,0.12127386498114423
00037,Besoin,xgboost,2204760.5384,2893883.5983210425,12.842581054979238,0.999698012727522
00037,Besoin,prophet,98698119.58684452,137240192.16092545,450.5393743536314,0.328315915033189
00037,Besoin,arima,121921064.74100739,160057597.0776385,561.9188075337493,0.08640227717408355
00037,Besoin,moving_avg,130790089.11149037,169394503.57006076,825.2408991511717,-0.02329547125532927
